Date,ibov_pnl,single_pnl,total_pnl
2022-03-04,0.0,0.0,0.0
2022-03-07,1446.2018801284337,-1335.5382879847682,110.66359214366548
2022-03-08,-2541.737104413349,326.6895434174789,-2215.04756099587
2022-03-09,2578.387671123547,-1733.9866001861503,844.4010709373968
2022-03-10,-421.027967851081,-184.81980406321273,-605.8477719142937
2022-03-11,2738.4442538813355,-211.71532236972192,2526.7289315116136
2022-03-14,708.3210537391221,-281.00304305875954,427.3180106803626
2022-03-15,-2586.0619210644877,53.44618907636228,-2532.6157319881254
2022-03-16,5110.20003079862,-270.4170332718021,4839.782997526818
2022-03-17,2080.7602861979394,222.27725236025884,2303.0375385581983
2022-03-18,5820.899056815504,-270.1324619894634,5550.766594826041
2022-03-21,327.57061998168376,-429.1213137229001,-101.55069374121632
2022-03-22,-1876.857587113965,-198.1166123521407,-2074.974199466106
2022-03-23,-1597.0627548919147,513.7930951056636,-1083.269659786251
2022-03-24,3133.323534251822,7.284606993006157,3140.608141244828
2022-03-25,-4672.696436064922,-244.56792296060647,-4917.264359025528
2022-03-28,-7725.939950728078,481.88325136003004,-7244.056699368048
2022-03-29,-3389.2296453850704,-19.783370554497886,-3409.0130159395685
2022-03-30,-779.1422630717832,447.56433529564674,-331.57792777613645
2022-03-31,-2333.109917484083,175.83009803300428,-2157.2798194510788
2022-04-01,3035.903576370959,127.6621021898273,3163.565678560786
2022-04-04,-279.6055325758309,186.38414285076837,-93.22138972506255
2022-04-05,14030.58022191213,-192.97997863668115,13837.60024327545
2022-04-06,716.3330030390823,-5.956519339659501,710.3764836994228
2022-04-07,145.07694916050048,-198.48773448571416,-53.41078532521368
2022-04-08,991.5822478872034,57.89457737452259,1049.476825261726
2022-04-11,7612.14908090476,-138.63087051379134,7473.518210390968
2022-04-12,2892.6585143345633,1108.435858226354,4001.0943725609172
2022-04-13,-1504.5070041084105,225.34492399248614,-1279.1620801159243
2022-04-14,1656.720636750295,700.2803368864459,2357.000973636741
2022-04-18,1069.0580932184878,-129.7417891321016,939.3163040863863
2022-04-19,-1101.0504531425947,563.211541262362,-537.8389118802328
2022-04-20,978.3378602616226,222.86394528882067,1201.2018055504432
2022-04-22,36833.132266854824,-441.2768081839818,36391.85545867084
2022-04-25,-1807.5916815396454,28.596772648167224,-1778.9949088914782
2022-04-26,25707.353702205837,-523.5260100457863,25183.82769216005
2022-04-27,75.21555615064699,-79.65417925737162,-4.438623106724634
2022-04-28,-1259.0445412717895,605.7446635989173,-653.2998776728722
2022-04-29,21679.131796317073,9.131890854560169,21688.263687171635
2022-05-02,-7876.362147642192,235.88042728103275,-7640.481720361159
2022-05-03,-26725.948316071896,812.2693708980997,-25913.678945173797
2022-05-04,24751.76158097916,-423.00319479251084,24328.75838618665
2022-05-05,51660.01400403506,181.01750477387154,51841.031508808934
